"game_id","week","year","home","away","home_tds","home_fgs","away_tds","away_fgs"
401403853,1,2022,"Hawai'i","Vanderbilt",1,1,7,0
401403854,1,2022,"Alabama","Utah State",7,2,0,0
401403855,1,2022,"Arkansas","Cincinnati",4,1,3,1
401403856,1,2022,"Auburn","Mercer",6,0,2,1
401403857,1,2022,"Florida","Utah",4,0,3,2
401403858,1,2022,"Georgia","Oregon",7,0,0,1
401403859,1,2022,"Kentucky","Miami (OH)",3,3,1,2
401403860,1,2022,"Ole Miss","Troy",4,0,1,1
401403861,1,2022,"Mississippi State","Memphis",7,0,3,1
401403863,1,2022,"South Carolina","Georgia State",2,2,2,0
401403864,1,2022,"Tennessee","Ball State",8,1,1,1
401403865,1,2022,"Texas A&M","Sam Houston State",4,1,0,0
401403866,1,2022,"Vanderbilt","Elon",6,0,4,1
401403867,1,2022,"Florida State","LSU",0,1,0,1
401403868,2,2022,"Texas","Alabama",1,4,2,2
401403869,2,2022,"Arkansas","South Carolina",6,0,4,1
401403870,2,2022,"Auburn","San José State",3,1,1,3
401403871,2,2022,"Florida","Kentucky",1,2,2,2
401403872,2,2022,"Georgia","Samford",3,4,0,0
401403873,2,2022,"LSU","Southern",8,0,1,1
401403874,2,2022,"Ole Miss","Central Arkansas",7,1,0,1
401403875,2,2022,"Arizona","Mississippi State",2,1,5,2
401403876,2,2022,"Kansas State","Missouri",3,2,1,1
401403877,2,2022,"Pittsburgh","Tennessee",3,2,4,2
401403878,2,2022,"Texas A&M","Appalachian State",1,0,3,1
401403879,2,2022,"Vanderbilt","Wake Forest",3,1,5,1
401403880,3,2022,"Alabama","Louisiana Monroe",6,0,1,0
401403881,3,2022,"Arkansas","Missouri State",4,1,3,2
401403882,3,2022,"Auburn","Penn State",1,2,5,2
401403883,3,2022,"Florida","South Florida",3,1,3,2
401403884,3,2022,"Kentucky","Youngstown State",4,1,0,0
401403885,3,2022,"LSU","Mississippi State",4,1,2,1
401403886,3,2022,"Georgia Tech","Ole Miss",0,0,6,0
401403888,3,2022,"South Carolina","Georgia",1,0,6,2
401403889,3,2022,"Tennessee","Akron",9,0,0,2
401403890,3,2022,"Texas A&M","Miami",2,1,0,3
401403891,3,2022,"Northern Illinois","Vanderbilt",4,0,5,1
401403892,4,2022,"Alabama","Vanderbilt",7,2,0,1
401403893,4,2022,"Texas A&M","Arkansas",2,1,3,0
401403894,4,2022,"Auburn","Missouri",2,1,2,0
401403895,4,2022,"Georgia","Kent State",4,3,2,3
401403896,4,2022,"Kentucky","Northern Illinois",4,1,3,1
401403897,4,2022,"LSU","New Mexico",5,1,0,0
401403898,4,2022,"Ole Miss","Tulsa",5,0,3,2
401403899,4,2022,"Mississippi State","Bowling Green",6,1,2,0
401403901,4,2022,"Tennessee","Florida",5,1,5,0
401403902,5,2022,"Arkansas","Alabama",3,2,7,0
401403903,5,2022,"Auburn","LSU",2,1,2,0
401403904,5,2022,"Florida","Eastern Washington",7,1,2,1
401403905,5,2022,"Ole Miss","Kentucky",2,2,3,0
401403906,5,2022,"Mississippi State","Texas A&M",4,0,3,1
401403907,5,2022,"Missouri","Georgia",1,5,2,4
401403908,5,2022,"South Carolina","South Carolina State",6,0,1,1
401403909,6,2022,"Alabama","Texas A&M",3,1,2,2
401403910,6,2022,"Florida","Missouri",2,1,2,1
401403911,6,2022,"Georgia","Auburn",6,0,1,1
401403912,6,2022,"Kentucky","South Carolina",2,0,3,1
401403913,6,2022,"LSU","Tennessee",2,0,4,4
401403914,6,2022,"Mississippi State","Arkansas",6,0,2,1
401403915,6,2022,"Vanderbilt","Ole Miss",3,2,7,1
401403916,7,2022,"BYU","Arkansas",5,0,7,1
401403917,7,2022,"Florida","LSU",5,0,6,1
401403918,7,2022,"Georgia","Vanderbilt",7,2,0,0
401403919,7,2022,"Kentucky","Mississippi State",3,2,1,1
401403920,7,2022,"Ole Miss","Auburn",6,2,4,2
401403921,7,2022,"Tennessee","Alabama",7,1,5,2
401403922,8,2022,"Alabama","Mississippi State",3,3,1,0
401403923,8,2022,"LSU","Ole Miss",6,1,2,2
401403924,8,2022,"Missouri","Vanderbilt",2,1,1,0
401403925,8,2022,"South Carolina","Texas A&M",3,1,2,3
401403926,8,2022,"Tennessee","UT Martin",9,1,3,1
401403927,9,2022,"Auburn","Arkansas",3,2,5,2
401403928,9,2022,"Georgia","Florida",6,0,2,2
401403929,9,2022,"South Carolina","Missouri",1,1,2,3
401403930,9,2022,"Tennessee","Kentucky",6,1,1,0
401403931,9,2022,"Texas A&M","Ole Miss",4,0,4,1
401403932,10,2022,"Arkansas","Liberty",2,1,3,0
401403933,10,2022,"Georgia","Tennessee",3,2,1,2
401403934,10,2022,"LSU","Alabama",4,1,3,4
401403935,10,2022,"Mississippi State","Auburn",4,2,4,3
401403936,10,2022,"Missouri","Kentucky",2,1,3,0
401403937,10,2022,"Texas A&M","Florida",3,1,5,2
401403938,10,2022,"Vanderbilt","South Carolina",4,0,5,1
401403939,11,2022,"Arkansas","LSU",1,1,1,2
401403940,11,2022,"Auburn","Texas A&M",1,2,1,1
401403941,11,2022,"Florida","South Carolina",5,1,1,0
401403942,11,2022,"Kentucky","Vanderbilt",2,3,3,1
401403943,11,2022,"Ole Miss","Alabama",3,1,3,3
401403944,11,2022,"Mississippi State","Georgia",1,2,6,1
401403945,11,2022,"Tennessee","Missouri",9,1,3,1
401403946,12,2022,"Alabama","Austin Peay",4,2,0,0
401403947,12,2022,"Arkansas","Ole Miss",6,0,3,2
401403949,12,2022,"Kentucky","Georgia",1,0,1,3
401403951,12,2022,"Mississippi State","East Tennessee State",7,0,0,0
401403952,12,2022,"Missouri","New Mexico State",5,1,2,0
401403953,12,2022,"South Carolina","Tennessee",9,0,5,1
401403954,12,2022,"Texas A&M","UMass",2,2,0,1
401403955,12,2022,"Vanderbilt","Florida",3,1,4,2
401403956,13,2022,"Ole Miss","Mississippi State",2,3,3,1
401403957,13,2022,"Alabama","Auburn",7,0,3,2
401403958,13,2022,"Florida State","Florida",6,1,5,1
401403959,13,2022,"Georgia","Georgia Tech",4,3,2,0
401403960,13,2022,"Kentucky","Louisville",2,4,2,0
401403961,13,2022,"Missouri","Arkansas",3,3,3,2
401403962,13,2022,"Clemson","South Carolina",3,0,4,1
401403963,13,2022,"Texas A&M","LSU",4,1,3,1
401403964,13,2022,"Vanderbilt","Tennessee",0,0,7,0
401403966,1,2022,"Colorado","TCU",1,2,4,1
401403967,1,2022,"San Diego State","Arizona",1,2,5,1
401403968,1,2022,"California","UC Davis",3,2,2,0
401403969,1,2022,"Oregon State","Boise State",4,2,2,1
401403970,1,2022,"Stanford","Colgate",7,0,0,1
401403971,1,2022,"UCLA","Bowling Green",6,1,1,1
401403973,1,2022,"Washington","Kent State",6,1,2,2
401403974,1,2022,"Washington State","Idaho",3,1,1,1
401403975,2,2022,"Oklahoma State","Arizona State",4,2,2,1
401403976,2,2022,"California","UNLV",2,2,2,0
401403978,2,2022,"Oregon","Eastern Washington",9,0,2,0
401403979,2,2022,"Fresno State","Oregon State",3,4,5,0
401403980,2,2022,"Stanford","USC",4,0,5,2
401403981,2,2022,"UCLA","Alabama State",6,1,1,0
401403983,2,2022,"Washington","Portland State",7,1,0,2
401403985,3,2022,"Arizona","North Dakota State",4,1,3,0
401403987,3,2022,"Notre Dame","California",3,1,2,1
401403988,3,2022,"Minnesota","Colorado",7,0,1,0
401403989,3,2022,"Oregon","BYU",5,2,3,0
401403990,3,2022,"Oregon State","Montana State",10,0,3,0
401403991,3,2022,"UCLA","South Alabama",3,4,4,1
401403992,3,2022,"USC","Fresno State",6,1,2,1
401403993,3,2022,"Utah","San Diego State",5,0,1,0
401403994,3,2022,"Washington","Michigan State",5,1,4,0
401403995,3,2022,"Washington State","Colorado State",5,1,1,0
401403996,4,2022,"California","Arizona",7,0,4,1
401403997,4,2022,"Arizona State","Utah",1,2,4,2
401403998,4,2022,"Colorado","UCLA",2,1,6,1
401403999,4,2022,"Washington State","Oregon",4,2,4,3
401404000,4,2022,"Oregon State","USC",2,0,2,1
401404001,4,2022,"Washington","Stanford",4,4,3,0
401404002,5,2022,"Arizona","Colorado",6,1,2,0
401404003,5,2022,"USC","Arizona State",6,0,3,1
401404004,5,2022,"Washington State","California",4,0,1,1
401404005,5,2022,"Oregon","Stanford",6,1,3,2
401404006,5,2022,"Utah","Oregon State",5,0,1,3
401404007,5,2022,"UCLA","Washington",5,1,4,1
401404008,6,2022,"Arizona","Oregon",2,3,7,0
401404009,6,2022,"Arizona State","Washington",5,1,5,1
401404010,6,2022,"Stanford","Oregon State",3,2,4,1
401404011,6,2022,"UCLA","Utah",6,0,3,1
401404012,6,2022,"USC","Washington State",3,3,2,0
401404013,7,2022,"Washington","Arizona",7,0,5,1
401404014,7,2022,"Colorado","California",2,2,1,2
401404015,7,2022,"Oregon State","Washington State",3,1,1,1
401404016,7,2022,"Notre Dame","Stanford",2,0,1,3
401404017,7,2022,"Utah","USC",6,0,6,0
401404018,8,2022,"Stanford","Arizona State",0,5,2,0
401404019,8,2022,"California","Washington",3,0,3,2
401404020,8,2022,"Oregon State","Colorado",5,0,1,1
401404021,8,2022,"Oregon","UCLA",6,1,3,3
401404022,9,2022,"Arizona","USC",4,3,6,1
401404023,9,2022,"Colorado","Arizona State",3,2,6,0
401404024,9,2022,"California","Oregon",3,1,6,0
401404025,9,2022,"UCLA","Stanford",5,1,1,2
401404026,9,2022,"Washington State","Utah",2,1,3,0
401404027,10,2022,"Utah","Arizona",6,1,2,1
401404028,10,2022,"Arizona State","UCLA",4,2,7,0
401404029,10,2022,"USC","California",6,0,5,0
401404030,10,2022,"Colorado","Oregon",1,1,7,0
401404031,10,2022,"Washington","Oregon State",3,1,2,0
401404032,10,2022,"Stanford","Washington State",2,0,6,1
401404033,11,2022,"USC","Colorado",7,1,2,1
401404034,11,2022,"UCLA","Arizona",4,0,4,2
401404035,11,2022,"Washington State","Arizona State",4,0,3,0
401404036,11,2022,"Oregon State","California",4,1,0,1
401404037,11,2022,"Oregon","Washington",4,2,4,3
401404038,11,2022,"Utah","Stanford",6,0,1,0
401404039,12,2022,"Arizona","Washington State",2,2,3,1
401404040,12,2022,"Arizona State","Oregon State",1,0,4,1
401404041,12,2022,"California","Stanford",2,2,2,2
401404042,12,2022,"Washington","Colorado",7,1,1,0
401404043,12,2022,"Oregon","Utah",2,2,1,1
401404044,12,2022,"UCLA","USC",6,1,6,2
401404045,13,2022,"Arizona","Arizona State",5,1,5,0
