"game_id","week","year","home","away","home_tds","home_fgs","away_tds","away_fgs"
401520145,1,2023,"Jacksonville State","UTEP",2,1,2,0
401520146,1,2023,"Louisiana Tech","Florida International",2,3,2,1
401520147,1,2023,"Vanderbilt","Hawai'i",2,0,1,0
401520148,1,2023,"Minnesota","Nebraska",1,2,1,1
401520149,1,2023,"Alabama","Middle Tennessee",8,0,1,0
401520150,1,2023,"Arkansas","Western Carolina",7,0,1,2
401520151,1,2023,"Auburn","UMass",7,1,2,0
401520152,1,2023,"BYU","Sam Houston State",2,0,0,0
401520153,1,2023,"Florida International","Maine",1,0,1,2
401520154,1,2023,"Georgia","UT Martin",5,2,1,0
401520155,1,2023,"Illinois","Toledo",3,1,3,3
401520156,1,2023,"Indiana","Ohio State",0,1,2,3
401520157,1,2023,"Iowa","Utah State",3,1,1,2
401520158,1,2023,"Jacksonville State","East Tennessee State",14,0,0,1
401520159,1,2023,"Kentucky","Ball State",3,3,2,0
401520160,1,2023,"Liberty","Bowling Green",3,2,2,1
401520161,1,2023,"Maryland","Towson",5,1,0,2
401520162,1,2023,"Michigan","East Carolina",4,1,0,1
401520163,1,2023,"Michigan State","Central Michigan",4,1,1,0
401520164,1,2023,"Mississippi State","Southeastern Louisiana",5,2,1,0
401520165,1,2023,"Missouri","South Dakota",5,0,1,1
401520166,1,2023,"New Mexico State","Western Illinois",8,1,3,0
401520167,1,2023,"North Carolina","South Carolina",0,1,0,1
401520168,1,2023,"Ole Miss","Mercer",9,1,1,0
401520170,1,2023,"Purdue","Fresno State",4,0,5,1
401520171,1,2023,"Rutgers","Northwestern",3,1,1,0
401520172,1,2023,"SMU","Louisiana Tech",4,1,2,0
401520173,1,2023,"Texas A&M","New Mexico",7,1,1,1
401520174,1,2023,"Connecticut","NC State",2,0,3,1
401520175,1,2023,"Louisiana Monroe","Army",2,1,0,2
401520176,1,2023,"Utah","Florida",3,1,1,1
401520177,1,2023,"UTEP","Incarnate Word",4,0,2,0
401520178,1,2023,"Vanderbilt","Alabama A&M",6,1,1,2
401520179,1,2023,"Tennessee","Virginia",7,0,1,2
401520180,1,2023,"Wisconsin","Buffalo",5,1,2,1
401520181,1,2023,"Western Kentucky","South Florida",4,2,3,1
401520182,1,2023,"Florida State","LSU",6,1,3,1
401520183,2,2023,"Alabama","Texas",2,3,4,2
401520184,2,2023,"Arkansas","Kent State",3,0,0,2
401520185,2,2023,"Army","Delaware State",8,0,0,0
401520186,2,2023,"California","Auburn",1,1,2,0
401520187,2,2023,"Coastal Carolina","Jacksonville State",3,3,4,3
401520188,2,2023,"Colorado","Nebraska",4,3,2,0
401520189,2,2023,"Florida International","North Texas",5,1,5,2
401520190,2,2023,"Florida","McNeese",7,0,1,0
401520191,2,2023,"Georgia","Ball State",5,1,0,1
401520192,2,2023,"Georgia State","Connecticut",5,0,2,0
401520193,2,2023,"Indiana","Indiana State",5,2,0,0
401520194,2,2023,"Iowa State","Iowa",1,2,1,2
401520195,2,2023,"Kansas","Illinois",4,2,3,0
401520196,2,2023,"Kentucky","Eastern Kentucky",4,0,2,1
401520197,2,2023,"Louisiana Tech","Northwestern State",5,3,3,0
401520198,2,2023,"Liberty","New Mexico State",4,2,2,1
401520199,2,2023,"LSU","Grambling",10,0,1,1
401520200,2,2023,"Maryland","Charlotte",4,3,2,0
401520201,2,2023,"Miami","Texas A&M",5,2,5,2
401520202,2,2023,"Michigan","UNLV",5,0,1,0
401520203,2,2023,"Michigan State","Richmond",6,1,1,0
401520204,2,2023,"Minnesota","Eastern Michigan",2,3,0,2
401520205,2,2023,"Mississippi State","Arizona",4,1,3,1
401520206,2,2023,"Missouri","Middle Tennessee",3,1,2,1
401520207,2,2023,"Northwestern","UTEP",5,1,1,0
401520208,2,2023,"Ohio State","Youngstown State",5,0,1,0
401520209,2,2023,"Penn State","Delaware",8,0,1,0
401520210,2,2023,"Rutgers","Temple",4,3,1,0
401520211,2,2023,"Sam Houston State","Air Force",0,1,1,2
401520212,2,2023,"South Carolina","Furman",7,0,3,0
401520213,2,2023,"Tennessee","Austin Peay",3,3,1,2
401520214,2,2023,"Tulane","Ole Miss",2,2,3,3
401520215,2,2023,"Virginia Tech","Purdue",2,1,3,1
401520216,2,2023,"Wake Forest","Vanderbilt",3,3,4,0
401520217,2,2023,"Washington State","Wisconsin",3,1,2,3
401520218,2,2023,"Western Kentucky","Houston Christian",6,1,3,0
401520219,3,2023,"Arizona","UTEP",4,1,1,1
401520220,3,2023,"Arkansas","BYU",3,1,5,1
401520221,3,2023,"Auburn","Samford",6,1,2,0
401520222,3,2023,"Buffalo","Liberty",4,0,7,2
401520223,3,2023,"Duke","Northwestern",5,1,2,0
401520224,3,2023,"Florida","Tennessee",4,1,2,1
401520225,3,2023,"Georgia","South Carolina",3,1,2,0
401520226,3,2023,"Illinois","Penn State",2,0,3,3
401520227,3,2023,"Iowa","Western Michigan",5,1,1,1
401520228,3,2023,"Kentucky","Akron",5,0,0,1
401520229,3,2023,"Louisiana Tech","North Texas",5,1,4,4
401520230,3,2023,"Indiana","Louisville",2,0,3,0
401520231,3,2023,"Maryland","Virginia",5,0,2,0
401520232,3,2023,"Michigan","Bowling Green",4,1,0,2
